n;m;d1;d2;d3;sweeps;ann_type;mu_type;mu1;mu2;mu3;mu4;mu5;mu6;mu7
8;3;[7];[6];[5,7];50000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];100000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];500000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];1000000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];5000000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];10000000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];50000000;classical;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];50000;quantum;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];100000;quantum;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];500000;quantum;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];1000000;quantum;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];5000000;quantum;small;1;1;1;1;1;1;1
8;3;[7];[6];[5,7];10000000;quantum;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];50000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];100000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];500000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];1000000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];5000000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];10000000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];50000000;classical;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];50000;quantum;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];100000;quantum;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];500000;quantum;small;1;1;1;1;1;1;1
12;3;[11];[9,11];[7,11];1000000;quantum;small;1;1;1;1;1;1;
12;3;[11];[9,11];[7,11];5000000;quantum;small;1;1;1;1;1;1;
12;3;[11];[9,11];[7,11];10000000;quantum;small;1;1;1;1;1;1
25;4;[23];[19,24];[17,22,24];50000;classical;medium;1;1;1;1;1;1;1
25;4;[23];[19,24];[17,22,24];100000;classical;medium;1;1;1;1;1;1;1
